参数组,累计收益,累计收益率,平均盈亏,胜率,交易次数,平均盈利/平均亏损,权益最大回撤,权益最大回撤比,损益最大回撤,损益最大回撤比,总亏损,总盈利,最大亏损,最大持续亏损次数,最大持续盈利次数,最大盈利
{u'TEMP': 1},4230.00,14.10,81.35,42.31,104,1.67,-8030.00,-23.87,-7660.00,-23.02,-19080.00,23310.00,2050.00,12.0,4.0,2250.00
{u'TEMP': 2},9060.00,30.20,210.70,37.21,86,2.66,-8030.00,-25.28,-7660.00,-24.39,-15800.00,24860.00,2050.00,12.0,4.0,2390.00
{u'TEMP': 3},15420.00,51.40,416.76,43.24,74,3.09,-3410.00,-8.48,-3220.00,-8.01,-11360.00,26780.00,1350.00,4.0,4.0,2390.00
{u'TEMP': 4},15910.00,53.03,530.33,43.33,60,3.21,-3860.00,-10.71,-3670.00,-10.18,-10910.00,26820.00,1800.00,4.0,3.0,2570.00
{u'TEMP': 5},15720.00,52.40,524.00,43.33,60,3.82,-2200.00,-6.83,-1910.00,-6.20,-8190.00,23910.00,930.00,4.0,2.0,2390.00
{u'TEMP': 6},14190.00,47.30,545.77,46.15,52,3.78,-1970.00,-5.29,-1510.00,-4.10,-6330.00,20520.00,930.00,4.0,2.0,2330.00
{u'TEMP': 7},17050.00,56.83,682.00,52.00,50,3.78,-2270.00,-6.76,-1510.00,-4.35,-5510.00,22560.00,700.00,4.0,3.0,2470.00
{u'TEMP': 8},13520.00,45.07,436.13,38.71,62,4.00,-3560.00,-8.26,-2970.00,-6.95,-8850.00,22370.00,790.00,7.0,3.0,2570.00
{u'TEMP': 9},16570.00,55.23,502.12,48.48,66,3.00,-4320.00,-10.56,-2970.00,-7.88,-9110.00,25680.00,1190.00,7.0,7.0,2570.00
{u'TEMP': 10},27140.00,90.47,565.42,64.58,96,1.86,-4320.00,-11.20,-3520.00,-8.40,-11310.00,38450.00,1460.00,7.0,14.0,2570.00
{u'TEMP': 11},31330.00,104.43,505.32,69.35,124,1.40,-4320.00,-12.83,-3520.00,-8.37,-14490.00,45820.00,1460.00,6.0,14.0,2570.00
{u'TEMP': 12},33450.00,111.50,499.25,76.12,134,0.96,-3520.00,-8.29,-3520.00,-7.56,-16150.00,49600.00,2280.00,3.0,14.0,2050.00
{u'TEMP': 13},29290.00,97.63,380.39,72.73,154,0.90,-3520.00,-9.15,-3520.00,-9.15,-20870.00,50160.00,2280.00,3.0,11.0,2050.00
{u'TEMP': 14},23200.00,77.33,341.18,70.59,136,0.93,-3140.00,-7.67,-3000.00,-7.33,-18870.00,42070.00,2280.00,3.0,10.0,2130.00
{u'TEMP': 15},5420.00,18.07,542.00,40.00,20,3.96,-2050.00,-6.83,-1860.00,-6.20,-3300.00,8720.00,780.00,3.0,2.0,2390.00
{u'TEMP': 16},940.00,3.13,134.29,28.57,14,3.72,-1340.00,-4.24,-1180.00,-3.75,-1920.00,2860.00,510.00,3.0,1.0,2180.00
{u'TEMP': 17},4740.00,15.80,1185.00,75.00,8,3.37,-2270.00,-6.76,-520.00,-1.63,-520.00,5260.00,520.00,1.0,2.0,1960.00
{u'TEMP': 18},3750.00,12.50,416.67,44.44,18,3.87,-1510.00,-5.03,-1510.00,-5.03,-1790.00,5540.00,530.00,4.0,2.0,2330.00
{u'TEMP': 19},2360.00,7.87,337.14,42.86,14,2.96,-1740.00,-5.47,-1660.00,-5.22,-1930.00,4290.00,660.00,3.0,2.0,2130.00
{u'TEMP': 20},4920.00,16.40,702.86,57.14,14,3.19,-1300.00,-4.00,-1090.00,-3.36,-1510.00,6430.00,700.00,2.0,3.0,2400.00
{u'TEMP': 21},1250.00,4.17,125.00,20.00,20,5.31,-3120.00,-10.27,-2510.00,-8.37,-3820.00,5070.00,790.00,6.0,2.0,2570.00
{u'TEMP': 22},8080.00,26.93,808.00,80.00,20,1.37,-2540.00,-8.29,-1190.00,-3.97,-1810.00,9890.00,1190.00,1.0,7.0,2000.00
{u'TEMP': 23},12930.00,43.10,615.71,80.95,42,0.97,-3520.00,-9.15,-3520.00,-9.15,-4130.00,17060.00,1460.00,3.0,9.0,2050.00
{u'TEMP': 24},9070.00,30.23,431.90,76.19,42,0.91,-1960.00,-5.97,-1080.00,-3.34,-4730.00,13800.00,1080.00,1.0,6.0,1690.00
{u'TEMP': 25},2730.00,9.10,170.62,62.50,32,0.87,-3140.00,-10.06,-3000.00,-9.61,-6120.00,8850.00,2280.00,2.0,7.0,1650.00
{u'TEMP': 26},3930.00,13.10,196.50,65.00,40,0.86,-2360.00,-6.90,-2080.00,-6.08,-6520.00,10450.00,1370.00,2.0,5.0,1230.00
{u'TEMP': 27},6530.00,21.77,502.31,69.23,26,1.58,-1810.00,-4.72,-1810.00,-4.72,-2560.00,9090.00,750.00,3.0,7.0,2130.00
{u'TEMP': 28},2950.00,9.83,737.50,50.00,8,2.57,-2380.00,-6.74,-1880.00,-5.40,-1880.00,4830.00,950.00,2.0,2.0,2810.00
