datetime,open,high,low,close,volume,openInterest
2004-09-22,1234,1238,1189,1197,327464,132542
2004-09-23,1191,1194,1178,1187,170198,140760
2004-09-24,1182,1197,1179,1190,144970,147910
2004-09-27,1185,1188,1158,1159,146712,157268
2004-09-28,1160,1169,1157,1162,82860,159230
2004-09-29,1165,1167,1150,1154,107198,170556
2004-09-30,1149,1152,1126,1129,125372,190106
2004-10-08,1130,1147,1118,1142,133012,195868
2004-10-11,1138,1153,1131,1144,127576,196722
2004-10-12,1147,1158,1133,1148,150828,197170
2004-10-13,1141,1151,1139,1141,112040,200834
2004-10-14,1145,1151,1142,1148,98578,205140
2004-10-15,1145,1149,1135,1138,104680,204318
2004-10-18,1141,1142,1132,1137,75094,206186
2004-10-19,1135,1149,1134,1140,110038,209252
2004-10-20,1147,1156,1142,1153,129584,224304
2004-10-21,1151,1153,1145,1148,105622,229710
2004-10-22,1146,1147,1136,1138,129788,214412
2004-10-25,1135,1145,1131,1142,111228,202956
2004-10-26,1149,1150,1142,1144,65668,208044
2004-10-27,1146,1148,1142,1145,72788,204072
2004-10-28,1143,1149,1140,1147,91668,199098
2004-10-29,1143,1147,1140,1142,72432,195094
2004-11-01,1141,1143,1129,1135,164840,208400
2004-11-02,1131,1140,1131,1139,115846,212742
2004-11-03,1138,1141,1133,1140,115910,206586
2004-11-04,1140,1141,1136,1140,94548,202240
2004-11-05,1136,1154,1135,1144,185832,211416
2004-11-08,1147,1149,1142,1142,99414,209496
2004-11-09,1143,1146,1140,1142,126278,205724
2004-11-10,1144,1144,1138,1140,125300,204942
2004-11-11,1142,1144,1139,1140,117890,206220
2004-11-12,1140,1141,1133,1136,124568,210138
2004-11-15,1140,1151,1139,1146,176676,208704
2004-11-16,1149,1154,1145,1147,149176,222870
2004-11-17,1149,1152,1144,1149,107362,223240
2004-11-18,1153,1159,1150,1155,153586,237846
2004-11-19,1153,1156,1148,1155,111490,240006
2004-11-22,1149,1151,1147,1149,116236,241334
2004-11-23,1148,1154,1147,1149,165902,237118
2004-11-24,1151,1155,1150,1154,117832,232864
2004-11-25,1153,1172,1152,1169,251504,277840
2004-11-26,1167,1171,1161,1166,141754,283546
2004-11-29,1164,1165,1148,1150,207242,265534
2004-11-30,1149,1154,1147,1150,137580,251762
2004-12-01,1150,1158,1150,1157,169694,258604
2004-12-02,1155,1164,1152,1156,159158,258276
2004-12-03,1155,1161,1154,1160,175470,261220
2004-12-06,1164,1175,1162,1168,248314,277288
2004-12-07,1171,1171,1163,1164,205056,273828
2004-12-08,1159,1163,1157,1162,275708,263216
2004-12-09,1164,1172,1164,1170,241240,267970
2004-12-10,1167,1169,1163,1166,212294,265048
2004-12-13,1167,1173,1164,1172,284524,270334
2004-12-14,1175,1180,1167,1168,269788,276906
2004-12-15,1170,1171,1167,1170,216310,277154
2004-12-16,1169,1171,1167,1168,233684,270416
2004-12-17,1167,1168,1162,1165,311784,256522
2004-12-20,1168,1174,1165,1169,279524,253760
2004-12-21,1169,1171,1166,1169,290334,248764
2004-12-22,1169,1170,1166,1167,268222,237444
2004-12-23,1167,1171,1164,1167,289706,236784
2004-12-24,1170,1170,1166,1168,217178,231722
2004-12-27,1168,1170,1165,1167,276564,230066
2004-12-28,1167,1169,1153,1156,345788,216316
2004-12-29,1156,1160,1153,1158,301340,210326
2004-12-30,1157,1161,1154,1156,253526,202274
2004-12-31,1158,1161,1155,1159,228588,192738
2005-01-04,1154,1157,1146,1149,136598,196204
