datetime,open,high,low,close,volume,openInterest
1996-04-02,25498,25536,25355,25367,707,102525
1996-04-03,25201,25352,25175,25279,502,101200
1996-04-04,25145,25338,25128,25304,596,103228
1996-04-05,25373,25393,25323,25383,197,93225
1996-04-08,25361,25374,25338,25340,112,102450
1996-04-09,25339,25379,25326,25363,240,99726
1996-04-10,25334,25556,25320,25471,529,98775
1996-04-11,25682,25785,25656,25768,573,99425
1996-04-12,26133,26200,25935,26023,1157,98975
1996-04-15,25995,26007,25735,25763,590,97600
1996-04-16,25703,25761,25685,25702,525,91950
1996-04-17,25768,25793,25745,25766,144,89075
1996-04-18,25853,25872,25746,25764,332,88775
1996-04-19,25745,25765,25726,25747,225,88550
1996-04-22,25978,26056,25915,26040,729,88725
1996-04-23,25996,26104,25988,26089,280,88750
1996-04-24,26022,26031,25897,25900,284,89600
1996-04-25,26004,26011,25948,25958,300,179950
1996-04-26,25861,25932,25820,25860,385,87700
1996-04-29,25770,25770,25720,25730,275,88350
1996-04-30,25702,25803,25677,25796,236,88675
1996-05-06,25971,26039,25963,26028,355,86575
1996-05-07,25986,25999,25976,25988,248,86535
1996-05-08,26143,26202,26049,26068,509,88175
1996-05-09,26132,26163,26003,26007,844,95776
1996-05-10,25953,26037,25919,26030,380,96175
1996-05-13,26028,26028,25957,25969,245,85400
1996-05-14,26028,26037,25979,25986,218,95551
1996-05-15,25836,25992,25834,25982,366,88400
1996-05-16,25917,26032,25917,26019,257,90350
1996-05-17,26017,26022,25976,26008,121,90375
1996-05-20,25502,25564,25420,25437,639,96875
1996-05-21,25147,25341,25054,25247,1382,98685
1996-05-22,25229,25276,25104,25245,792,100700
1996-05-23,25375,25464,25350,25447,358,100225
1996-05-24,25407,25419,25341,25378,466,100303
1996-05-27,25370,25393,25316,25341,217,98275
1996-05-28,25357,25364,25298,25305,133,98200
1996-05-29,25324,25351,25309,25322,56,98275
1996-05-30,25409,25415,25357,25360,75,99950
1996-05-31,25274,25276,25055,25062,469,101775
1996-06-01,25045,25071,24790,24797,564,100900
1996-06-04,24595,24708,24574,24686,1121,95610
1996-06-05,24437,24467,24228,24235,1296,97775
1996-06-06,23507,23523,23507,23507,968,95500
1996-06-07,22952,23446,22950,23344,2061,92450
1996-06-10,23506,23756,23464,23712,1591,95075
1996-06-11,23646,23656,23334,23348,727,99750
1996-06-12,22800,22912,22659,22668,1304,105675
1996-06-13,22891,22946,22595,22725,951,105000
1996-06-14,22041,22152,22026,22037,1906,115250
1996-06-17,21291,21629,21274,21274,1884,118825
1996-06-18,21381,21904,21357,21904,1439,123825
1996-06-19,22122,22241,21830,21938,1402,121675
1996-06-20,22212,22364,22079,22320,3556,116980
1996-06-21,21825,21969,21787,21841,5838,125465
1996-06-24,21201,21336,21180,21188,10597,147955
1996-06-25,20973,21374,20819,21354,7148,212285
1996-06-26,20753,20762,20742,20743,2920,158310
1996-06-27,20945,21046,20449,20487,8675,163545
1996-06-28,20969,21051,20798,20944,6729,164855
1996-07-01,20939,21005,20761,20844,4390,161875
1996-07-02,20486,20657,20455,20566,7830,168975
1996-07-03,20628,20683,20559,20568,3264,168730
1996-07-04,20538,20576,20471,20520,2946,168470
1996-07-05,20584,20696,20566,20681,2236,160120
1996-07-08,20928,20961,20788,20831,2626,168465
1996-07-09,20871,20934,20799,20916,2892,167855
1996-07-10,20861,20898,20805,20872,1923,167600
1996-07-11,20723,20774,20544,20566,3111,170855
1996-07-12,19998,20092,19945,19948,9993,187765
1996-07-15,20111,20161,19934,20082,6801,189440
1996-07-16,19571,19709,19448,19462,6490,182045
1996-07-17,19692,19708,19568,19582,4531,180940
1996-07-18,19679,19728,19601,19695,3791,179825
1996-07-19,19662,20011,19655,19985,5765,183565
1996-07-22,19866,19947,19808,19849,3195,184310
1996-07-23,20007,20072,19980,20059,3601,150470
1996-07-24,20459,20626,20428,20614,7003,178715
1996-07-25,20654,20708,20488,20549,5725,171780
1996-07-26,21096,21150,20982,21127,11711,161625
1996-07-29,20837,20885,20713,20737,5614,160505
1996-07-30,20411,20646,20388,20630,6243,171865
1996-07-31,20503,20581,20470,20542,1369,150150
1996-08-01,20722,20923,20711,20904,5009,173140
1996-08-02,20701,20748,20668,20694,2219,174730
1996-08-05,20627,20761,20599,20752,2528,176150
1996-08-06,20513,20594,20472,20544,4778,174930
1996-08-07,20780,20837,20755,20781,4344,175220
1996-08-08,20866,20889,20725,20737,1380,177055
1996-08-09,20633,20771,20630,20760,1891,173505
1996-08-12,20789,20889,20784,20877,2622,170690
1996-08-13,20739,20783,20707,20723,3125,130520
1996-08-14,20786,20802,20742,20773,1090,170610
1996-08-15,20943,20956,20850,20879,3248,167445
1996-08-16,20796,20820,20768,20782,1298,158415
1996-08-19,20628,20662,20584,20617,3827,160990
1996-08-20,20743,20754,20678,20686,1219,159595
1996-08-21,20583,20606,20529,20570,4869,154535
1996-08-22,20565,20570,20410,20424,3316,157355
1996-08-23,20381,20384,20212,20223,4131,160950
1996-08-26,20294,20398,20281,20380,3298,162735
1996-08-27,20257,20293,20242,20269,939,135240
1996-08-28,20392,20557,20387,20531,2462,160960
1996-08-29,20512,20553,20498,20542,1005,128020
1996-08-30,20660,20704,20628,20651,3123,158415
1996-09-02,21244,21254,21231,21237,8030,308150
1996-09-03,21087,21160,20887,21115,15588,317730
1996-09-04,21408,21411,21105,21197,12542,316850
1996-09-05,21057,21239,21035,21216,7818,323690
1996-09-06,20518,20619,20518,20558,24350,331940
1996-09-09,20539,20605,20500,20507,4218,65398
1996-09-10,20430,20453,20364,20397,8146,65718
1996-09-11,20443,20517,20434,20481,3012,65446
1996-09-12,20170,20313,20007,20172,17116,71292
1996-09-13,19998,20284,19976,20280,11708,72552
1996-09-16,20280,20314,20217,20254,5468,70746
1996-09-17,20209,20270,20199,20241,3902,71406
1996-09-18,20373,20440,20363,20393,8262,69074
1996-09-19,20550,20553,20383,20399,6436,68438
1996-09-20,20403,20413,20191,20260,5206,69786
1996-09-23,19991,20034,19871,19934,14250,73548
1996-09-24,19980,20028,19956,19997,4286,73666
1996-09-25,20190,20216,20133,20162,6548,72534
1996-09-26,20086,20111,19968,20011,6756,71472
1996-09-27,20078,20176,20046,20175,9848,69590
1996-10-03,20032,20159,20030,20127,4448,71210
1996-10-04,20102,20127,20054,20096,1832,69612
1996-10-07,20094,20097,19977,19985,3790,70290
1996-10-08,19843,19843,19618,19637,12902,73130
1996-10-09,19829,19857,19683,19701,9056,74194
1996-10-10,19645,19674,19572,19642,7560,75110
1996-10-11,19808,19812,19634,19641,12840,75632
1996-10-14,19564,19564,19331,19399,14778,76310
1996-10-15,19258,19459,19235,19405,11080,77778
1996-10-16,19356,19440,19342,19429,6248,73422
1996-10-17,19268,19325,18858,18878,28970,78114
1996-10-18,19047,19093,18562,18718,25906,79472
1996-10-21,18775,18870,18642,18835,13080,79954
1996-10-22,18959,19093,18937,19080,12776,79350
1996-10-23,18919,18931,18756,18759,13218,81880
1996-10-24,18897,18994,18888,18925,9794,84224
1996-10-25,19154,19245,19109,19167,19030,85282
1996-10-28,19405,19586,19364,19550,19830,86286
1996-10-29,19350,19485,19311,19471,13252,85962
1996-10-30,18846,18967,18834,18949,23514,88174
1996-10-31,19154,19195,19055,19098,8086,88012
1996-11-01,18961,19064,18946,19055,7908,86228
1996-11-04,19164,19284,19147,19200,6334,85886
1996-11-05,19238,19269,19182,19201,3110,86142
1996-11-06,19075,19114,18963,18968,8642,88542
1996-11-07,19073,19103,19041,19090,4376,88502
1996-11-08,19411,19437,19302,19321,17440,89258
1996-11-11,19176,19334,19159,19301,4040,88926
