日期时间,开盘,最高,最低,收盘,成交,持仓
2009-03-27,3566.0000,3660.6360,3514.4580,3562.2000,360228,46944
2009-03-30,3551.0470,3580.9330,3529.8440,3545.6800,145888,49728
2009-03-31,3539.2970,3567.2350,3532.6550,3550.5420,71002,45918
2009-04-01,3561.6330,3562.3080,3545.0280,3548.9560,28388,43236
2009-04-02,3546.9600,3550.0720,3457.8960,3475.0390,236480,70388
2009-04-03,3482.8730,3482.8750,3439.2800,3450.2400,153874,77068
2009-04-07,3426.8090,3519.4190,3426.8050,3492.8950,243464,102722
2009-04-08,3481.8320,3492.6320,3457.9820,3465.1440,147714,94146
2009-04-09,3478.1500,3488.1470,3462.0680,3469.9360,88100,97168
2009-04-10,3484.8610,3501.5640,3471.8430,3486.2480,121774,102686
2009-04-13,3487.0920,3495.0790,3466.6350,3471.4440,110892,112270
2009-04-14,3477.2530,3600.8620,3471.1630,3561.6330,541858,153526
2009-04-15,3571.4720,3591.5150,3552.0150,3564.3010,256590,154898
2009-04-16,3584.0930,3629.4170,3573.2570,3598.2010,251234,172990
2009-04-17,3596.1700,3650.0880,3583.6120,3622.4110,340950,223986
2009-04-20,3622.1030,3649.8880,3617.1200,3625.1450,260904,242662
2009-04-21,3582.1040,3592.1250,3491.9060,3526.2120,333156,244330
2009-04-22,3552.1380,3568.1990,3510.4290,3528.2110,169038,237870
2009-04-23,3531.3430,3533.3520,3490.5930,3515.4260,131110,238052
2009-04-24,3515.2200,3524.2870,3499.4800,3503.4010,102004,251366
2009-04-27,3512.2890,3522.2310,3494.0460,3501.3610,102958,259882
2009-04-28,3498.1590,3517.3320,3498.1570,3509.0380,97352,268106
2009-04-29,3509.0830,3521.9730,3505.0610,3521.9560,102924,280628
2009-04-30,3538.0150,3575.2480,3525.0780,3554.4660,249142,304374
2009-05-04,3574.6010,3661.0500,3574.5940,3637.3760,575670,333112
2009-05-05,3637.3360,3645.2760,3573.1220,3578.9410,176798,317136
2009-05-06,3579.8970,3599.6600,3575.0310,3595.9770,104310,320716
2009-05-07,3629.5510,3631.5410,3592.9370,3594.8920,151292,326604
2009-05-08,3600.7690,3617.5240,3591.8920,3615.5960,104146,330660
2009-05-11,3616.6490,3679.2750,3607.7090,3640.1880,337180,346724
2009-05-12,3646.1230,3661.0730,3631.4290,3646.2520,194050,347022
2009-05-13,3656.2040,3658.2080,3635.3910,3640.3760,119000,348088
2009-05-14,3617.7060,3621.7930,3591.5840,3595.7290,140800,343940
