L , K , 2017-01-04 , 2926 , 030000 ,       ,      ,    , 001
L , P , 2017-01-09 , 3042 , 031160 , 01160 , 0010 , 04 , -01
L , K , 2017-01-10 , 3162 , 031160 ,       ,      ,    , 001
L , P , 2017-01-16 , 3367 , 033210 , 02050 , 0010 , 05 , -01
L , K , 2017-01-24 , 3286 , 033210 ,       ,      ,    , 001
L , P , 2017-01-26 , 3359 , 033940 , 00730 , 0010 , 03 , -01
L , K , 2017-02-07 , 3158 , 033940 ,       ,      ,    , 001
L , P , 2017-02-08 , 3234 , 034700 , 00760 , 0010 , 02 , -01
L , K , 2017-02-10 , 3319 , 034700 ,       ,      ,    , 001
L , P , 2017-02-13 , 3426 , 035770 , 01070 , 0010 , 02 , -01
L , K , 2017-02-16 , 3369 , 035770 ,       ,      ,    , 001
L , P , 2017-02-17 , 3453 , 036610 , 00840 , 0010 , 02 , -01
L , K , 2017-02-20 , 3522 , 036610 ,       ,      ,    , 001
L , P , 2017-02-27 , 3582 , 037210 , 00600 , 0010 , 06 , -01
L , K , 2017-03-01 , 3509 , 037210 ,       ,      ,    , 001
L , P , 2017-03-07 , 3448 , 036600 , -0610 , 0100 , 05 , -01
L , K , 2017-03-10 , 3346 , 036600 ,       ,      ,    , 001
L , P , 2017-03-13 , 3534 , 038480 , 01880 , 0010 , 02 , -01
L , K , 2017-03-15 , 3574 , 038480 ,       ,      ,    , 001
L , P , 2017-03-20 , 3477 , 037510 , -0970 , 0100 , 04 , -01
L , K , 2017-03-29 , 3217 , 037510 ,       ,      ,    , 001
L , P , 2017-04-07 , 3071 , 036050 , -1460 , 1100 , 06 , -01
L , K , 2017-04-13 , 2940 , 036050 ,       ,      ,    , 001
L , P , 2017-04-18 , 2831 , 034960 , -1090 , 0100 , 04 , -01
L , K , 2017-04-19 , 2855 , 034960 ,       ,      ,    , 001
L , P , 2017-04-21 , 2928 , 035690 , 00730 , 0010 , 03 , -01
L , K , 2017-04-26 , 2964 , 035690 ,       ,      ,    , 001
L , P , 2017-04-28 , 3105 , 037100 , 01410 , 0010 , 03 , -01
L , K , 2017-05-08 , 2983 , 037100 ,       ,      ,    , 001
L , P , 2017-05-10 , 3050 , 037770 , 00670 , 0010 , 03 , -01
L , K , 2017-05-15 , 2966 , 037770 ,       ,      ,    , 001
